language,speakers
Vangunu,910
Vayu,1500
Venda,1300000
Veps,1640
Vietnamese,76000000
Vishavan,150
Votic,62
Võro,74499
Wae Rana,3000
Wagaydy,5
Waigali,11500
Waiká,6000
Waimahã,500
Wajiara,1200
Walloon,600000
Wanano,2600
Wancho,59154
Waninnawa,700
Wano,1000
Waorani,1650
Wapishana,13000
Warao,28100
Warekena,650
Wargli,20000
Wari’,1930
Warlpiri,2507
Warumungu,200
Washo,20
Waurá,320
Wayana,1700
Welsh,562016
West Coast Bajau,210000
West Damar,800
West Flemish,1400000
West Frisian,845100
West Makian,12000
West Tarangan,7910
West Uvean,2200
Western Apache,13445
Western Armenian,1395240
Western Bolivian Guaraní,7000
Western Bukidnon Manobo,15000
Western Highland Purepecha,140000
Western Ojibwa,10000
Western Yugur,4600
Whitesands,7500
Wiwa,1850
Wixarika,47625
Wolayttattuwa,5830000
Wolio,65000
Wu Chinese,81400000
Wutun,4000
Wutung,900
Xamtanga,210000
Xavante,9600
Xhosa,8177300
Xiang Chinese,37300000
Xokleng,760
Yabarana,20
Yaeyama,47600
Yagaria,21000
Yaghan,0
Yagua,5700
Yakan,110000
Yakut,450000
Yala,200000
Yalë,600
Yami,3800
Yaminawa,2729
Yan-nhaŋu Sign Language,10
Yankunytjatjara,600
Yapese,5130
Yaroamë,430
Yauyos–Chincha Quechua,13000
Yawalapiti,8
Yawuru,6
Ye'kuana,6000
Yenish,16000
Yiddish,1000000
Yidiny,52
Yimkhiungrü,83259
Yine,5000
Yinjibarndi,377
Yipma,6600
Yogad,16000
Yonaguni,400
Yongbei Zhuang,1980000
Yoruba,37800000
Yucuna,1800
Yue Chinese,73100000
Yuhup,400
Yukpa,7500
Yuracaré,2700
Zacatepec Chatino,300
Zaghawa,274000
Zeem,400
Zenaga,200
Zhuang,16000000
Zimbabwe Sign Language,280000
Zulgo-Gemzek,26000
Zulu,12100000
Zuruahá,140
ut-Hun,50000
Äiwoo,8400
Äynu,12000
